,city,year,month,weather,day_type,day_time,day,accident_severity,accident_type,road
0,472,2022,12,,,,,,,
1,473,2022,12,,,,,,,
2,182,2022,12,,,,,,,
3,2710,2022,12,,,,,,,
4,31,2022,12,,,,,,,
5,2400,2022,12,,,,,,,
6,1020,2022,12,,,,,,,
7,565,2022,12,,,,,,,
8,2600,2022,12,,,,,,,
9,478,2022,12,,,,,,,
10,993,2022,12,,,,,,,
11,528,2022,12,,,,,,,
12,539,2022,12,,,,,,,
13,997,2022,12,,,,,,,
14,1358,2022,12,,,,,,,
15,1359,2022,12,,,,,,,
16,1349,2022,12,,,,,,,
17,1367,2022,12,,,,,,,
18,1360,2022,12,,,,,,,
19,1343,2022,12,,,,,,,
20,5569,2022,12,,,,,,,
21,1346,2022,12,,,,,,,
22,679,2022,12,,,,,,,
23,360,2022,12,,,,,,,
24,773,2022,12,,,,,,,
25,41,2022,12,,,,,,,
26,1309,2022,12,,,,,,,
27,529,2022,12,,,,,,,
28,70,2022,12,,,,,,,
29,1311,2022,12,,,,,,,
30,1046,2022,12,,,,,,,
31,403,2022,12,,,,,,,
32,399,2022,12,,,,,,,
33,1363,2022,12,,,,,,,
34,352,2022,12,,,,,,,
35,1241,2022,12,,,,,,,
36,1239,2022,12,,,,,,,
37,1232,2022,12,,,,,,,
38,916,2022,12,,,,,,,
39,1227,2022,12,,,,,,,
40,840,2022,12,,,,,,,
41,1085,2022,12,,,,,,,
42,829,2022,12,,,,,,,
43,695,2022,12,,,,,,,
44,1366,2022,12,,,,,,,
45,402,2022,12,,,,,,,
46,69,2022,12,,,,,,,
47,602,2022,12,,,,,,,
48,1238,2022,12,,,,,,,
49,1240,2022,12,,,,,,,
50,676,2022,12,,,,,,,
51,318,2022,12,,,,,,,
52,1231,2022,12,,,,,,,
53,413,2022,12,,,,,,,
54,1136,2022,12,,,,,,,
55,713,2022,12,,,,,,,
56,1058,2022,12,,,,,,,
57,1223,2022,12,,,,,,,
58,5538,2022,12,,,,,,,
59,1364,2022,12,,,,,,,
60,1051,2022,12,,,,,,,
61,1237,2022,12,,,,,,,
62,7100,2022,12,,,,,,,
63,6000,2022,12,,,,,,,
64,819,2022,12,,,,,,,
65,2012,2022,12,,,,,,,
66,1157,2022,12,,,,,,,
67,772,2022,12,,,,,,,
68,155,2022,12,,,,,,,
69,234,2022,12,,,,,,,
70,756,2022,12,,,,,,,
71,793,2022,12,,,,,,,
72,700,2022,12,,,,,,,
73,406,2022,12,,,,,,,
